"81","N1","併","ヘイ","あわ.せる","relier, joindre, unir, simultané"
"82","N4","使","シ","つか.う","utiliser"
"83","N3","例","レイ","たと.える","exemple, précédent"
"84","N1","侍","ジ, シ","さむらい, はべ.る","samuraï, serviteur, servir"
"85","N3","供","キョウ, ク, クウ","そな.える, とも","accompagner, offrir, suffixe du pluriel"
"86","N2","依","イ, エ","よ.る","dépendant, dû à"
"87","N2","価","カ, ケ","あたい","prix, valeur"
"88","N1","侮","ブ","あなど.る","mépriser, traiter de haut, dédain, outrage"
"89","N1","侯","コウ","-","seigneur, daimyo"
"90","N1","侵","シン","おか.す","intrusion, invasion, entrer sans permission"
"91","N4","便","ベン, ビン","たよ.り","commodité, lettre, courrier"
"92","N3","係","ケイ","かか.る","service, en charge de, devoir"
"93","N1","俊","シュン","-","perspicace, sage, génie, excellent"
"94","N1","俗","ゾク","-","vulgaire, coutume, manières"
"95","N2","保","ホ, ホウ","たも.つ","préserver, maintenir, garantir"
"96","N3","信","シン","-","croyance, confiance en soi, croire"
"97","N2","修","シュウ, シュ","おさ.める","bien se conduire, discipline, maîtrise"
"98","N1","俳","ハイ","-","haïku, acteur"
"99","N1","俵","ヒョウ","たわら","sac, ballot, sac de paille"
"100","N1","俸","ホウ","-","salaire, revenue"
"101","N1","倉","ソウ","くら","entrepôt, magasin, dépôt"
"102","N2","個","コ, カ","-","individuel, privé, compteur d'articles ou d'unités militaires"
"103","N2","倍","バイ","-","double, deux fois"
"104","N3","倒","トウ","たお.れる, たお.す","se renverser, s'écrouler, s'effondrer"
"105","N3","候","コウ","そうろう","temps (météorologique), climat"
"106","N4","借","シャク","か.りる","emprunter, louer"
"107","N1","倣","ホウ","なら.う","copier, imiter"
"108","N3","値","チ","ね, あたい","prix, coût, valeur"
"109","N1","倫","リン","-","éthique, morale"
"110","N1","倹","ケン","つま.しい, つづまやか","économe, frugal"
"111","N3","偉","イ","えら.い","remarquable, grandiose, célèbre"
"112","N1","偏","ヘン","かたよ.る","partial, biaisé, radical gauche d'un kanji"
"113","N2","停","テイ","と.める, と.まる","arrêt, s'arrêter"
"114","N2","健","ケン","すこ.やか","pleine forme, bien portant, sain"
"115","N3","側","ソク","かわ, そば","côté, flanc"
"116","N1","偵","テイ","-","espionnage"
"117","N3","偶","グウ","たま","par hasard, nombre pair, couple"
"118","N1","偽","ギ, カ","いつわ.る, にせ","mensonge, mentir, contrefaçon"
"119","N1","傍","ボウ","かたわ.ら, そば","à côté de, à proximité, spectateur,observateur, pendant que"
"120","N1","傑","ケツ","すぐ.れる","grandeur, excellence (une personne)"
"121","N1","傘","サン","かさ","parapluie"
"122","N3","備","ビ","そな.える","préparation, être équipé de, approvisionné"
"123","N1","催","サイ","もよう.す","sponsor, tenir (une réunion), prendre en charge"
"124","N1","傷","ショウ","きず, いた.む","blessure, entaille, douleur, avoir mal"
"125","N2","傾","ケイ","かたむ.く, かたぶ.く,かた.げる","pencher, incliner, basculer, sombrer"
"126","N4","働","ドウ, リュク, リキ,ロク","はたら.く","travailler"
"127","N2","像","ゾウ","-","portrait, figure, représentation"
"128","N1","僕","ボク","しもべ","je (masculin), moi, mon, serviteur"
"129","N1","僚","リョウ","-","collègue, employé, compagnon"
"130","N1","僧","ソウ","-","prêtre bouddhiste, moine"
"131","N1","儀","ギ","-","cérémonie, rite, manières"
"132","N2","億","オク","-","cent million, 10^8"
"133","N1","儒","ジュ","-","confucéen"
"134","N1","償","ショウ","つぐな.う","indemnisation, compensation"
"135","N3","優","ユウ, ウ","やさ.しい, すぐ.れる,まさ.る","gentillesse, tendresse, surpasser, acteur"
"136","N4","元","ゲン, ガン","もと","origine, commencement"
"137","N4","兄","ケイ, キョウ","あに","frère ainé, grand-frère"
"138","N1","充","ジュウ","あ.てる, み.たす","allouer, attribuer, remplir"
"139","N2","兆","チョウ","きざ.す, きざ.し","signe, présage, donner signe, 10^12"
"140","N5","先","セン","さき, ま.ず","avant, devant, précédent"
"141","N4","光","コウ","ひか.る, ひかり","lumière, éclat, étinceler, briller"
