Français;Kanji;Kana;Rōmaji;Type
Magnifique, majestueux , superbe;立派;りっぱ;rippa;な 
Malade;病気;びょうき;byōki;な 
Maladroit;動きが鈍い;うごきがにぶい;ugokiganibui;い 
Malfaisant;邪悪;じゃあく;jāku;な 
Masculin;男らしい;おとこらしい;otokorashī;い 
Mauvais;悪い;わるい;warui;い 
Méchant;意地悪;いじわる;ijiwaru;な 
Merveilleux, mystérieux;不思議;ふしぎ;fushigi;な 
Mignon;可愛い;かわいい;kawaī;い 
Mince ,dilué, épars;薄い;うすい;usui;い 
Mou;柔らかい;やわらかい;yawarakai;い 
Mystérieux, suspect;怪しい;あやしい;ayashī;い 
National;国立;こくりつ;kokuritsu;の (no)
Nombreux;多い;おおい;ōi;い 
Nostalgique;懐かしい;なつかしい;natsukashī;い 
Nouveau;新しい;あたらしい;atarashī;い 
Nul;詰まらない;つまらない;tsumaranai;い 
Obscène;猥褻;わいせつ;waisetsu;な 
Occupé;忙しい;いそがしい;isogashī;い 
Payant;有料;ゆうりょう;yūryō;な 
Pervers;旋毛曲がり;つむじまがり;tsumujimagari;い 
Petit;小さい;ちいさい;chīsai;い 
Peu nombreux;少ない;すくない;sukunai;い 
Pieux;敬虔;けいけん;keiken;な 
Plat;平たい;ひらたい;hiratai;い 
Proche;近い;ちかい;chikai;い 
Profond;深い;ふかい;fukai;い 
Propre (nettoyé, lavé , bien tenu);清い;きよい;kiyoi;い 
Rapide;早い;はやい;hayai;い 
Rare;珍しい;めずらしい;mezurashī;い 
Ravissant,superbe;素敵;すてき;suteki;な 
Regrettable;悔しい;くやしい;kuyashī;い 
Remarquable, notable;著しい;いちじるしい;ichijirushī;い 
Ridicule;馬鹿らしい;ばからしい;bakarashī;い 
Risqué;危うい;あやい;ayaui;い 
Rond;円い ;まるい;marui;い 
Rond; 丸い;まるい;marui;い 
Sale, dégoûtant, vulgaire;汚い;きたない;kitanai;い 
Salé;塩っぱい;しょっぱい;shoppai;い 
Scrupuleux, soigneux;周到;しゅうとう;shūtō;な 
Simple;生易しい;なまやさしい;namayasashī;い 
Solitaire;寂しい;さびしい;sabishī;い 
Sombre;暗い;くらい;kurai;い 
Souple;柔軟;じゅうなん;jūnan;な 
Splendide;麗しい;うるわしい;uruwashī;い 
Stupide;愚;かおろか;oroka;な 
Stupide;阿呆;あほ;aho;な 
Sublime;気高い;けだかい;kedakai;い 
Sucré , indulgent, mielleux, laxiste.;甘い;あまい;amai;い 
Tard;晩い;おそい;osoi;い 
Terrible;恐ろしい;おそろしい;osoroshī;い 
Ténébreux;冥い;くらい;kurai;い 
Tiède;温い;ぬるい;nurui;い 
Tôt;早い;はやい;hayai;い 
Très ancien;久しい;ひさしい;hisashī;い 
Triste;悲しい;かなしい;kanashī;い 
Vacant;暇;ひま;hima;な 
Vaillant;勇ましい;いさましい;isamashī;い 
Vaste;広大;こうだい;kōdai;な 
Vieux;古い;ふるい;furui;い 
Vif, doué;鮮やか;あざやか;azayaka;な 
Violent, furieux;激しい;はげしい;hageshī;い 
Vrai;本当;ほんとう;hontō;な 
